,State,State Code,City,Occupation Code,Occupation,Employment Count,Average Hourly Wages,Average Annual Wages
64511,MA,74500,"Leominster-Gardner, MA",15-1142,Network and Computer Systems Administrators,60,37.93,78900
64512,MA,74500,"Leominster-Gardner, MA",15-1151,Computer User Support Specialists,80,25.34,52710
64513,MA,74500,"Leominster-Gardner, MA",15-1199,"Computer Occupations, All Other",30,40.15,83500
64772,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-0000,Computer and Mathematical Occupations,9800,55.65,115760
64773,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1111,Computer and Information Research Scientists,30,50.59,105230
64774,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1121,Computer Systems Analysts,990,45.25,94130
64775,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1122,Information Security Analysts,140,51.59,107300
64776,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1131,Computer Programmers,280,40.61,84460
64777,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1132,"Software Developers, Applications",2060,*,*
64778,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1133,"Software Developers, Systems Software",3560,60.62,126090
64779,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1134,Web Developers,140,34.54,71850
64780,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1141,Database Administrators,110,47.13,98020
64781,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1142,Network and Computer Systems Administrators,480,42.01,87380
64782,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1143,Computer Network Architects,240,63.93,132970
64783,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1151,Computer User Support Specialists,1110,27.17,56510
64784,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1152,Computer Network Support Specialists,210,46.7,97140
64785,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-1199,"Computer Occupations, All Other",330,55.89,116260
64786,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-2031,Operations Research Analysts,60,41.94,87230
64787,MA,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",15-2041,Statisticians,70,51.15,106390
65143,MA,74854,"Lynn-Saugus-Marblehead, MA NECTA Division",15-0000,Computer and Mathematical Occupations,430,45.03,93660
65144,MA,74854,"Lynn-Saugus-Marblehead, MA NECTA Division",15-1121,Computer Systems Analysts,30,42.01,87380
65145,MA,74854,"Lynn-Saugus-Marblehead, MA NECTA Division",15-1142,Network and Computer Systems Administrators,40,37.43,77850
65146,MA,74854,"Lynn-Saugus-Marblehead, MA NECTA Division",15-1143,Computer Network Architects,30,53.11,110470
65147,MA,74854,"Lynn-Saugus-Marblehead, MA NECTA Division",15-1151,Computer User Support Specialists,90,26.92,56000
65148,MA,74854,"Lynn-Saugus-Marblehead, MA NECTA Division",15-1199,"Computer Occupations, All Other",40,44.67,92910
65353,MA,75550,"New Bedford, MA",15-0000,Computer and Mathematical Occupations,670,40.06,83320
65354,MA,75550,"New Bedford, MA",15-1121,Computer Systems Analysts,150,45.07,93750
65355,MA,75550,"New Bedford, MA",15-1131,Computer Programmers,30,41.5,86310
65356,MA,75550,"New Bedford, MA",15-1132,"Software Developers, Applications",40,47.67,99160
65357,MA,75550,"New Bedford, MA",15-1142,Network and Computer Systems Administrators,90,39.71,82590
65358,MA,75550,"New Bedford, MA",15-1151,Computer User Support Specialists,140,24.82,51630
65359,MA,75550,"New Bedford, MA",15-1199,"Computer Occupations, All Other",80,45.89,95460
65636,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-0000,Computer and Mathematical Occupations,1820,41.73,86800
65637,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1121,Computer Systems Analysts,260,44.79,93160
65638,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1131,Computer Programmers,50,31.77,66090
65639,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1132,"Software Developers, Applications",280,50.49,105020
65640,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1133,"Software Developers, Systems Software",210,55.71,115870
65641,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1134,Web Developers,70,32.36,67310
65642,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1141,Database Administrators,40,35.89,74660
65643,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1142,Network and Computer Systems Administrators,170,38.24,79530
65644,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1143,Computer Network Architects,50,45.77,95200
65645,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1151,Computer User Support Specialists,340,27.23,56630
65646,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1152,Computer Network Support Specialists,60,29.82,62030
65647,MA,76524,"Peabody-Salem-Beverly, MA NECTA Division",15-1199,"Computer Occupations, All Other",120,35.98,74830
65958,MA,76600,"Pittsfield, MA",15-0000,Computer and Mathematical Occupations,710,40.17,83540
65959,MA,76600,"Pittsfield, MA",15-1121,Computer Systems Analysts,90,40.96,85200
65960,MA,76600,"Pittsfield, MA",15-1131,Computer Programmers,**,44.92,93440
65961,MA,76600,"Pittsfield, MA",15-1132,"Software Developers, Applications",50,46.48,96680
65962,MA,76600,"Pittsfield, MA",15-1133,"Software Developers, Systems Software",**,51.91,107980
65963,MA,76600,"Pittsfield, MA",15-1142,Network and Computer Systems Administrators,60,38.17,79400
65964,MA,76600,"Pittsfield, MA",15-1151,Computer User Support Specialists,150,21.88,45520
66209,MA,78100,"Springfield, MA-CT",15-0000,Computer and Mathematical Occupations,5510,38.58,80240
66210,MA,78100,"Springfield, MA-CT",15-1111,Computer and Information Research Scientists,60,46.12,95940
66211,MA,78100,"Springfield, MA-CT",15-1121,Computer Systems Analysts,730,41.69,86720
66212,MA,78100,"Springfield, MA-CT",15-1122,Information Security Analysts,130,44.65,92870
66213,MA,78100,"Springfield, MA-CT",15-1131,Computer Programmers,260,40.14,83480
66214,MA,78100,"Springfield, MA-CT",15-1132,"Software Developers, Applications",810,46.5,96730
66215,MA,78100,"Springfield, MA-CT",15-1133,"Software Developers, Systems Software",370,48.94,101800
66216,MA,78100,"Springfield, MA-CT",15-1134,Web Developers,200,36.68,76290
66217,MA,78100,"Springfield, MA-CT",15-1141,Database Administrators,160,41.66,86640
66218,MA,78100,"Springfield, MA-CT",15-1142,Network and Computer Systems Administrators,560,36.41,75740
66219,MA,78100,"Springfield, MA-CT",15-1143,Computer Network Architects,180,46.45,96610
66220,MA,78100,"Springfield, MA-CT",15-1151,Computer User Support Specialists,1120,25.03,52060
66221,MA,78100,"Springfield, MA-CT",15-1152,Computer Network Support Specialists,230,35.46,73760
66222,MA,78100,"Springfield, MA-CT",15-1199,"Computer Occupations, All Other",410,36.16,75220
66223,MA,78100,"Springfield, MA-CT",15-2031,Operations Research Analysts,80,52.01,108180
66224,MA,78100,"Springfield, MA-CT",15-2041,Statisticians,90,36.71,76360
66733,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-0000,Computer and Mathematical Occupations,860,50.02,104040
66734,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1121,Computer Systems Analysts,50,48.66,101210
66735,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1122,Information Security Analysts,40,48.31,100490
66736,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1132,"Software Developers, Applications",80,57.56,119720
66737,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1133,"Software Developers, Systems Software",210,57.84,120310
66738,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1142,Network and Computer Systems Administrators,80,40.64,84540
66739,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1143,Computer Network Architects,**,50.87,105800
66740,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1151,Computer User Support Specialists,100,35.93,74740
66741,MA,78254,"Taunton-Middleborough-Norton, MA NECTA Division",15-1199,"Computer Occupations, All Other",80,55.02,114440
67003,MA,79600,"Worcester, MA-CT",15-0000,Computer and Mathematical Occupations,6270,41.37,86050
67004,MA,79600,"Worcester, MA-CT",15-1121,Computer Systems Analysts,740,43.81,91120
67005,MA,79600,"Worcester, MA-CT",15-1122,Information Security Analysts,170,44.02,91560
67006,MA,79600,"Worcester, MA-CT",15-1131,Computer Programmers,180,45.52,94690
67007,MA,79600,"Worcester, MA-CT",15-1132,"Software Developers, Applications",960,50.37,104770
67008,MA,79600,"Worcester, MA-CT",15-1133,"Software Developers, Systems Software",860,49.79,103570
67009,MA,79600,"Worcester, MA-CT",15-1134,Web Developers,240,30.42,63270
67010,MA,79600,"Worcester, MA-CT",15-1141,Database Administrators,180,40.93,85120
67011,MA,79600,"Worcester, MA-CT",15-1142,Network and Computer Systems Administrators,510,39.82,82820
67012,MA,79600,"Worcester, MA-CT",15-1143,Computer Network Architects,410,46.85,97450
67013,MA,79600,"Worcester, MA-CT",15-1151,Computer User Support Specialists,1040,24.68,51330
67014,MA,79600,"Worcester, MA-CT",15-1152,Computer Network Support Specialists,200,36.02,74910
67015,MA,79600,"Worcester, MA-CT",15-1199,"Computer Occupations, All Other",470,43.76,91020
67016,MA,79600,"Worcester, MA-CT",15-2011,Actuaries,50,48.07,99980
67017,MA,79600,"Worcester, MA-CT",15-2031,Operations Research Analysts,50,39.53,82210
67018,MA,79600,"Worcester, MA-CT",15-2041,Statisticians,190,36.48,75870
67502,MD,12580,"Baltimore-Columbia-Towson, MD",15-0000,Computer and Mathematical Occupations,61410,47.62,99060
67503,MD,12580,"Baltimore-Columbia-Towson, MD",15-1111,Computer and Information Research Scientists,900,54.86,114110
67504,MD,12580,"Baltimore-Columbia-Towson, MD",15-1121,Computer Systems Analysts,8680,47.79,99390
67505,MD,12580,"Baltimore-Columbia-Towson, MD",15-1122,Information Security Analysts,2170,53.57,111430
67506,MD,12580,"Baltimore-Columbia-Towson, MD",15-1131,Computer Programmers,2470,40.66,84570
67507,MD,12580,"Baltimore-Columbia-Towson, MD",15-1132,"Software Developers, Applications",6960,52.25,108680
67508,MD,12580,"Baltimore-Columbia-Towson, MD",15-1133,"Software Developers, Systems Software",7990,56.36,117240
67509,MD,12580,"Baltimore-Columbia-Towson, MD",15-1134,Web Developers,1810,34.49,71750
67510,MD,12580,"Baltimore-Columbia-Towson, MD",15-1141,Database Administrators,1790,42.83,89080
67511,MD,12580,"Baltimore-Columbia-Towson, MD",15-1142,Network and Computer Systems Administrators,7980,52.43,109050
67512,MD,12580,"Baltimore-Columbia-Towson, MD",15-1143,Computer Network Architects,2770,53.02,110280
67513,MD,12580,"Baltimore-Columbia-Towson, MD",15-1151,Computer User Support Specialists,4590,27.05,56270
67514,MD,12580,"Baltimore-Columbia-Towson, MD",15-1152,Computer Network Support Specialists,4280,35.24,73300
67515,MD,12580,"Baltimore-Columbia-Towson, MD",15-1199,"Computer Occupations, All Other",6300,50.92,105900
67516,MD,12580,"Baltimore-Columbia-Towson, MD",15-2011,Actuaries,280,52.48,109160
67517,MD,12580,"Baltimore-Columbia-Towson, MD",15-2021,Mathematicians,60,50.37,104760
67518,MD,12580,"Baltimore-Columbia-Towson, MD",15-2031,Operations Research Analysts,1890,46.48,96670
67519,MD,12580,"Baltimore-Columbia-Towson, MD",15-2041,Statisticians,400,45.57,94790
68157,MD,15680,"California-Lexington Park, MD",15-0000,Computer and Mathematical Occupations,5510,49.33,102610
68158,MD,15680,"California-Lexington Park, MD",15-1111,Computer and Information Research Scientists,310,54.37,113080
68159,MD,15680,"California-Lexington Park, MD",15-1121,Computer Systems Analysts,1160,48.37,100610
68160,MD,15680,"California-Lexington Park, MD",15-1122,Information Security Analysts,290,46.44,96600
68161,MD,15680,"California-Lexington Park, MD",15-1131,Computer Programmers,130,44.36,92260
68162,MD,15680,"California-Lexington Park, MD",15-1132,"Software Developers, Applications",290,50.71,105480
68163,MD,15680,"California-Lexington Park, MD",15-1133,"Software Developers, Systems Software",750,53.94,112190
68164,MD,15680,"California-Lexington Park, MD",15-1134,Web Developers,40,44.35,92250
68165,MD,15680,"California-Lexington Park, MD",15-1141,Database Administrators,170,45.82,95310
68166,MD,15680,"California-Lexington Park, MD",15-1142,Network and Computer Systems Administrators,670,51.07,106220
68167,MD,15680,"California-Lexington Park, MD",15-1143,Computer Network Architects,170,50.13,104280
68168,MD,15680,"California-Lexington Park, MD",15-1151,Computer User Support Specialists,190,27.79,57790
68169,MD,15680,"California-Lexington Park, MD",15-1152,Computer Network Support Specialists,180,40.7,84660
68170,MD,15680,"California-Lexington Park, MD",15-1199,"Computer Occupations, All Other",470,52.6,109400
68171,MD,15680,"California-Lexington Park, MD",15-2021,Mathematicians,30,54.74,113870
68172,MD,15680,"California-Lexington Park, MD",15-2031,Operations Research Analysts,620,52.53,109260
68356,MD,19060,"Cumberland, MD-WV",15-0000,Computer and Mathematical Occupations,690,*,*
68357,MD,19060,"Cumberland, MD-WV",15-1121,Computer Systems Analysts,40,31.77,66070
68358,MD,19060,"Cumberland, MD-WV",15-1132,"Software Developers, Applications",**,45.29,94210
68359,MD,19060,"Cumberland, MD-WV",15-1133,"Software Developers, Systems Software",**,49.75,103470
68360,MD,19060,"Cumberland, MD-WV",15-1142,Network and Computer Systems Administrators,40,36.62,76180
68361,MD,19060,"Cumberland, MD-WV",15-1151,Computer User Support Specialists,80,17.64,36680
68362,MD,19060,"Cumberland, MD-WV",15-1152,Computer Network Support Specialists,80,23.43,48740
68363,MD,19060,"Cumberland, MD-WV",15-1199,"Computer Occupations, All Other",**,34.14,71010
68579,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-0000,Computer and Mathematical Occupations,2540,39.7,82570
68580,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1121,Computer Systems Analysts,360,36.79,76520
68581,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1122,Information Security Analysts,50,31.06,64600
68582,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1131,Computer Programmers,110,*,*
68583,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1132,"Software Developers, Applications",350,47.88,99590
68584,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1133,"Software Developers, Systems Software",80,39.53,82210
68585,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1134,Web Developers,50,26.42,54940
68586,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1141,Database Administrators,50,37.89,78810
68587,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1142,Network and Computer Systems Administrators,250,48.58,101050
68588,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1143,Computer Network Architects,160,42.81,89040
68589,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1151,Computer User Support Specialists,420,25.5,53030
68590,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1152,Computer Network Support Specialists,200,22.37,46520
68591,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-1199,"Computer Occupations, All Other",420,50.14,104300
68592,MD,25180,"Hagerstown-Martinsburg, MD-WV",15-2031,Operations Research Analysts,30,30.61,63680
68923,MD,41540,"Salisbury, MD-DE",15-0000,Computer and Mathematical Occupations,1340,35.7,74250
68924,MD,41540,"Salisbury, MD-DE",15-1121,Computer Systems Analysts,220,40.72,84710
68925,MD,41540,"Salisbury, MD-DE",15-1131,Computer Programmers,100,39.76,82710
68926,MD,41540,"Salisbury, MD-DE",15-1132,"Software Developers, Applications",100,50.84,105740
68927,MD,41540,"Salisbury, MD-DE",15-1133,"Software Developers, Systems Software",60,54.94,114280
68928,MD,41540,"Salisbury, MD-DE",15-1134,Web Developers,60,23.14,48140
68929,MD,41540,"Salisbury, MD-DE",15-1141,Database Administrators,70,41.87,87080
68930,MD,41540,"Salisbury, MD-DE",15-1142,Network and Computer Systems Administrators,200,38.43,79930
68931,MD,41540,"Salisbury, MD-DE",15-1143,Computer Network Architects,30,50.43,104900
68932,MD,41540,"Salisbury, MD-DE",15-1151,Computer User Support Specialists,290,21.42,44560
68933,MD,41540,"Salisbury, MD-DE",15-1152,Computer Network Support Specialists,150,28.19,58630
69348,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-0000,Computer and Mathematical Occupations,34230,49.04,102010
69349,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1111,Computer and Information Research Scientists,850,52.32,108820
69350,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1121,Computer Systems Analysts,4940,47.44,98680
69351,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1122,Information Security Analysts,1290,51.1,106280
69352,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1131,Computer Programmers,1460,46.68,97100
69353,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1132,"Software Developers, Applications",3630,60.7,126260
69354,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1133,"Software Developers, Systems Software",3870,62.31,129600
69355,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1134,Web Developers,930,36.65,76240
69356,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1141,Database Administrators,1080,40.27,83760
69357,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1142,Network and Computer Systems Administrators,3920,50.72,105500
69358,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1143,Computer Network Architects,1630,51.58,107290
69359,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1151,Computer User Support Specialists,3060,28.29,58830
69360,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1152,Computer Network Support Specialists,2330,34.43,71620
69361,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-1199,"Computer Occupations, All Other",2850,55.94,116350
69362,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-2011,Actuaries,180,*,*
69363,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-2021,Mathematicians,70,65.64,136540
69364,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-2031,Operations Research Analysts,1180,47.44,98670
69365,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-2041,Statisticians,900,54.48,113320
69366,MD,43524,"Silver Spring-Frederick-Rockville, MD Metropolitan Division",15-2090,Miscellaneous Mathematical Science Occupations,**,30.54,63530
69877,ME,70750,"Bangor, ME",15-0000,Computer and Mathematical Occupations,810,29.17,60670
69878,ME,70750,"Bangor, ME",15-1121,Computer Systems Analysts,50,32.31,67210
69879,ME,70750,"Bangor, ME",15-1131,Computer Programmers,70,41.64,86620
69880,ME,70750,"Bangor, ME",15-1132,"Software Developers, Applications",50,39.3,81740
69881,ME,70750,"Bangor, ME",15-1134,Web Developers,50,23.35,48560
69882,ME,70750,"Bangor, ME",15-1141,Database Administrators,40,28.57,59420
69883,ME,70750,"Bangor, ME",15-1142,Network and Computer Systems Administrators,120,28.14,58530
69884,ME,70750,"Bangor, ME",15-1143,Computer Network Architects,40,35.55,73940
69885,ME,70750,"Bangor, ME",15-1151,Computer User Support Specialists,180,22.68,47170
69886,ME,70750,"Bangor, ME",15-1152,Computer Network Support Specialists,110,22.56,46910
69887,ME,70750,"Bangor, ME",15-1199,"Computer Occupations, All Other",50,33.04,68720
70158,ME,74650,"Lewiston-Auburn, ME",15-0000,Computer and Mathematical Occupations,830,33.35,69370
70159,ME,74650,"Lewiston-Auburn, ME",15-1121,Computer Systems Analysts,120,35.27,73370
70160,ME,74650,"Lewiston-Auburn, ME",15-1131,Computer Programmers,120,36.87,76690
70161,ME,74650,"Lewiston-Auburn, ME",15-1132,"Software Developers, Applications",70,39.73,82630
70162,ME,74650,"Lewiston-Auburn, ME",15-1142,Network and Computer Systems Administrators,90,32.38,67350
70163,ME,74650,"Lewiston-Auburn, ME",15-1143,Computer Network Architects,50,44.45,92450
70164,ME,74650,"Lewiston-Auburn, ME",15-1151,Computer User Support Specialists,160,23.96,49830
70165,ME,74650,"Lewiston-Auburn, ME",15-1152,Computer Network Support Specialists,30,24.02,49960
70166,ME,74650,"Lewiston-Auburn, ME",15-1199,"Computer Occupations, All Other",60,33.71,70120
70167,ME,74650,"Lewiston-Auburn, ME",15-2031,Operations Research Analysts,50,33.24,69130
70436,ME,76750,"Portland-South Portland, ME",15-0000,Computer and Mathematical Occupations,6010,38.69,80460
70437,ME,76750,"Portland-South Portland, ME",15-1121,Computer Systems Analysts,1100,40.43,84090
70438,ME,76750,"Portland-South Portland, ME",15-1122,Information Security Analysts,160,*,*
70439,ME,76750,"Portland-South Portland, ME",15-1131,Computer Programmers,400,38.54,80160
70440,ME,76750,"Portland-South Portland, ME",15-1132,"Software Developers, Applications",1020,43.69,90860
70441,ME,76750,"Portland-South Portland, ME",15-1133,"Software Developers, Systems Software",190,46.36,96440
70442,ME,76750,"Portland-South Portland, ME",15-1134,Web Developers,180,33.63,69950
70443,ME,76750,"Portland-South Portland, ME",15-1141,Database Administrators,100,40.97,85210
70444,ME,76750,"Portland-South Portland, ME",15-1142,Network and Computer Systems Administrators,560,37.16,77300
70445,ME,76750,"Portland-South Portland, ME",15-1143,Computer Network Architects,370,44.79,93150
70446,ME,76750,"Portland-South Portland, ME",15-1151,Computer User Support Specialists,890,26.17,54440
70447,ME,76750,"Portland-South Portland, ME",15-1152,Computer Network Support Specialists,320,33.59,69870
70448,ME,76750,"Portland-South Portland, ME",15-1199,"Computer Occupations, All Other",390,37.53,78070
70449,ME,76750,"Portland-South Portland, ME",15-2011,Actuaries,100,50.97,106010
70450,ME,76750,"Portland-South Portland, ME",15-2031,Operations Research Analysts,210,34.92,72630
70451,ME,76750,"Portland-South Portland, ME",15-2041,Statisticians,40,38.55,80170
70904,MI,11460,"Ann Arbor, MI",15-0000,Computer and Mathematical Occupations,7950,39.58,82320
70905,MI,11460,"Ann Arbor, MI",15-1121,Computer Systems Analysts,660,40.37,83980
70906,MI,11460,"Ann Arbor, MI",15-1131,Computer Programmers,450,35.36,73560
70907,MI,11460,"Ann Arbor, MI",15-1132,"Software Developers, Applications",1570,49.02,101970
70908,MI,11460,"Ann Arbor, MI",15-1133,"Software Developers, Systems Software",1440,47.7,99220
70909,MI,11460,"Ann Arbor, MI",15-1134,Web Developers,320,29.67,61710
70910,MI,11460,"Ann Arbor, MI",15-1141,Database Administrators,200,35.53,73890
70911,MI,11460,"Ann Arbor, MI",15-1142,Network and Computer Systems Administrators,470,35.18,73180
70912,MI,11460,"Ann Arbor, MI",15-1143,Computer Network Architects,150,48.81,101520
70913,MI,11460,"Ann Arbor, MI",15-1151,Computer User Support Specialists,1400,23.06,47960
70914,MI,11460,"Ann Arbor, MI",15-1152,Computer Network Support Specialists,220,31.6,65730
70915,MI,11460,"Ann Arbor, MI",15-1199,"Computer Occupations, All Other",490,41.18,85650
70916,MI,11460,"Ann Arbor, MI",15-2031,Operations Research Analysts,150,43.23,89920
70917,MI,11460,"Ann Arbor, MI",15-2041,Statisticians,210,37.12,77220
71315,MI,12980,"Battle Creek, MI",15-0000,Computer and Mathematical Occupations,970,40.44,84120
71316,MI,12980,"Battle Creek, MI",15-1121,Computer Systems Analysts,170,48.59,101060
71317,MI,12980,"Battle Creek, MI",15-1132,"Software Developers, Applications",100,56.55,117610
71318,MI,12980,"Battle Creek, MI",15-1142,Network and Computer Systems Administrators,60,37.2,77380
71319,MI,12980,"Battle Creek, MI",15-1143,Computer Network Architects,110,42.97,89370
71320,MI,12980,"Battle Creek, MI",15-1151,Computer User Support Specialists,130,23.28,48420
71321,MI,12980,"Battle Creek, MI",15-1152,Computer Network Support Specialists,40,23.14,48140
71322,MI,12980,"Battle Creek, MI",15-1199,"Computer Occupations, All Other",310,39.93,83050
71542,MI,13020,"Bay City, MI",15-1151,Computer User Support Specialists,60,22.5,46810
71543,MI,13020,"Bay City, MI",15-1199,"Computer Occupations, All Other",60,39.6,82360
71751,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-0000,Computer and Mathematical Occupations,22910,40.06,83320
71752,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1121,Computer Systems Analysts,5180,40.81,84880
71753,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1122,Information Security Analysts,400,47.79,99400
71754,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1131,Computer Programmers,370,36.99,76950
71755,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1132,"Software Developers, Applications",6060,46.38,96470
71756,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1133,"Software Developers, Systems Software",1650,41.9,87150
71757,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1134,Web Developers,400,32.5,67600
71758,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1141,Database Administrators,570,43.02,89480
71759,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1142,Network and Computer Systems Administrators,1370,37.43,77850
71760,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1143,Computer Network Architects,710,54.87,114120
71761,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1151,Computer User Support Specialists,3100,24.13,50200
71762,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1152,Computer Network Support Specialists,630,31.11,64720
71763,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1199,"Computer Occupations, All Other",1800,40.62,84490
71764,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-2011,Actuaries,70,49.79,103550
71765,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-2031,Operations Research Analysts,470,41.41,86130
71766,MI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-2041,Statisticians,90,38.96,81030
72310,MI,22420,"Flint, MI",15-0000,Computer and Mathematical Occupations,2500,32.72,68050
72311,MI,22420,"Flint, MI",15-1121,Computer Systems Analysts,320,32.89,68410
72312,MI,22420,"Flint, MI",15-1132,"Software Developers, Applications",540,41.07,85430
72313,MI,22420,"Flint, MI",15-1133,"Software Developers, Systems Software",**,35.44,73720
72314,MI,22420,"Flint, MI",15-1134,Web Developers,90,26.78,55710
72315,MI,22420,"Flint, MI",15-1141,Database Administrators,80,35.23,73270
72316,MI,22420,"Flint, MI",15-1142,Network and Computer Systems Administrators,170,33.46,69600
72317,MI,22420,"Flint, MI",15-1143,Computer Network Architects,**,36.31,75520
72318,MI,22420,"Flint, MI",15-1151,Computer User Support Specialists,350,19.92,41440
72319,MI,22420,"Flint, MI",15-1152,Computer Network Support Specialists,140,24.22,50370
72320,MI,22420,"Flint, MI",15-1199,"Computer Occupations, All Other",150,28.86,60040
72321,MI,22420,"Flint, MI",15-2031,Operations Research Analysts,30,34.65,72070
72660,MI,24340,"Grand Rapids-Wyoming, MI",15-0000,Computer and Mathematical Occupations,9770,31.82,66190
72661,MI,24340,"Grand Rapids-Wyoming, MI",15-1121,Computer Systems Analysts,980,36.83,76610
72662,MI,24340,"Grand Rapids-Wyoming, MI",15-1122,Information Security Analysts,120,40.48,84210
72663,MI,24340,"Grand Rapids-Wyoming, MI",15-1131,Computer Programmers,440,37.4,77790
72664,MI,24340,"Grand Rapids-Wyoming, MI",15-1132,"Software Developers, Applications",1710,36.45,75820
